title,variant,price,imgUrl,link,l1,I2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数,ADO
1 包 100 个拉绳弓，5 厘米宽。,鲜红色,3.57,https://cf.shopee.vn/file/vn-11134207-7ras8-mclu2tywp1986e,http://shopee.vn/product/31780183/492058936,礼品与包装材料,丝带,IVCN2025122513711,216052439753,,P2,2026/7/1,492058936,3.57321,,1,1.14
Quantum 2B 黑色铅笔，型号 QP910/920（多种颜色） - 每管 50 支铅笔。,Quantum 2B 黑色铅笔，型号 QP910/920（多种颜色） - 每管 50 支铅笔。,11.07,https://cf.shopee.co.th/file/th-11134201-7rask-m8o7pyo2pc6m14,http://shopee.co.th/product/37154460/548072455,写作与校对,铅笔,IVCN2026021028663,22941543661,https://detail.1688.com/offer/663641867420.html?spm=a26352.b28411319.offerlist.16.5b171e62DvBE2O&cosite=-&tracelog=p4p&_p_isad=1&clickid=57ab017993004e8d9483d99e3a9b3529&sessionid=2ea0a0150dea4ffb9f5e9e33dbc69b94,P1,2026/7/1,548072455,11.07469,,1,6.93
Click Label E101 哑光白纸贴纸，A4 尺寸（100 张）| 可打印和可书写。,100张纸 + 赠送10张纸,11.9,https://cf.shopee.co.th/file/th-11134207-7qul1-lf52mjnecbv5d7,http://shopee.co.th/product/35599242/596686563,笔记本与纸质用品,标签和贴纸,IVCN202601054241,175790260733,https://detail.1688.com/offer/898687766401.html?spm=a26352.13672862.offerlist.28.7f7e3b60XedYBj&cosite=-&tracelog=p4p&_p_isad=1&clickid=c19aa4348587461295672e09d99ffaa1&sessionid=f174b2389362647b7e36579f9c9dc773,P0,2026/7/1,596686563,25.29734,高价品，流量翻倍,1,1.14
EK101 牛皮纸贴纸，A4尺寸，适用于喷墨和激光打印机 | 20张,20张,9.86,https://cf.shopee.co.th/file/72007eab642235ad638555247ad20ca1,http://shopee.co.th/product/35599242/601359383,笔记本与纸质用品,标签和贴纸,IVCN202606171921,834158977,,P2,2026/7/1,601359383,9.86726,,1,
masterborong 100张棕色牛皮纸 120gsm A4，适用于印刷和手工制作,masterborong 100张棕色牛皮纸 120gsm A4，适用于印刷和手工制作,2.88,https://cf.shopee.com.my/file/aa4eef5ec07fee358a3e6849f90f333e,http://shopee.com.my/product/3383160/651987267,笔记本与纸质用品,艺术纸和纸板,IVCN202605140115,52074880330,,P2,2026/7/1,651987267,2.8804,,1,3.29
瓶盖盒（仅盒子）安全存放您的收藏,黑色-10件装,0.76,https://cf.shopee.ph/file/sg-11134201-23010-4s9woq95htmv94,http://shopee.ph/product/36648627/657146699,礼品与包装材料,礼盒,IVCN202606175979,146563002855,,P2,2026/7/1,657146699,0.76267,,1,1.21
FP440（100个装）15x18厘米塑料饼干甜甜圈面包糕点包装袋食品包装可重复密封礼品袋,FP440（100个装）15x18厘米塑料饼干甜甜圈面包糕点包装袋食品包装可重复密封礼品袋,2.22,https://cf.shopee.ph/file/sg-11134201-22120-d626enrkcglv90,http://shopee.ph/product/22888872/693384878,礼品与包装材料,礼品袋,IVCN202605140179,72044927141,,P2,2026/7/1,693384878,2.2256,,1,14.36
色彩雫钢笔墨水，优质，无沉淀，50毫升。,色彩雫钢笔墨水，优质，无沉淀，50毫升。,74.79,https://cf.shopee.vn/file/vn-11134207-820l4-mi8j76g5ojye78,http://shopee.vn/product/27780357/704251246,写作与校对,钢笔和墨水,IVCN202606173819,90061732440,,P2,2026/7/1,704251246,74.79757,高价品，流量翻倍,1,
PACKMAN 快递袋（带/不带口袋）塑料邮递传单包裹袋包装袋包裹塑料快递袋 50个装,灰色带口袋，25*39厘米,1.86,https://cf.shopee.com.my/file/my-11134207-7r990-lr5bs9keruw437,http://shopee.com.my/product/8292524/709003907,礼品与包装材料,其他的,IVCN2026041458956,290021964020,https://detail.1688.com/offer/539949821539.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/7/1,709003907,1.86031,,9,15.57
PACKMAN 快递袋（带/不带口袋）塑料邮递传单包裹袋包装袋包裹塑料快递袋 50个装,灰色带口袋，30*44厘米,4.14,https://cf.shopee.com.my/file/my-11134207-7r990-lr5bs9keruw437,http://shopee.com.my/product/8292524/709003907,礼品与包装材料,其他的,IVCN2026041458956,290021964021,https://detail.1688.com/offer/539949821539.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/7/1,709003907,4.14566,,9,5.14
PACKMAN 快递袋（带/不带口袋）塑料邮递传单包裹袋包装袋包裹塑料快递袋 50个装,灰色带口袋，40*55厘米,12.77,https://cf.shopee.com.my/file/my-11134207-7r990-lr5bs9keruw437,http://shopee.com.my/product/8292524/709003907,礼品与包装材料,其他的,IVCN2026041458956,290021964022,https://detail.1688.com/offer/723076150648.html?spm=a26352.b28411319.offerlist.11.2fd81e62YNoDKT&cosite=-&tracelog=p4p&_p_isad=1&clickid=1a752df219ce461fac354a60a5401ee7&sessionid=ca0d6768ebc00b92c7e342fe67600c75,P1,2026/7/1,709003907,12.77136,,9,1.64
PACKMAN 快递袋（带/不带口袋）塑料邮递传单包裹袋包装袋包裹塑料快递袋 50个装,灰色，无口袋，25*39厘米,0.58,https://cf.shopee.com.my/file/my-11134207-7r98x-lr5bs9kexh5w95,http://shopee.com.my/product/8292524/709003907,礼品与包装材料,其他的,IVCN2026041458956,290021964026,https://detail.1688.com/offer/539949821539.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/7/1,709003907,0.58052,,9,36.57
PACKMAN 快递袋（带/不带口袋）塑料邮递传单包裹袋包装袋包裹塑料快递袋 50个装,灰色，无口袋，30*44厘米,2.13,https://cf.shopee.com.my/file/my-11134207-7r98x-lr5bs9kexh5w95,http://shopee.com.my/product/8292524/709003907,礼品与包装材料,其他的,IVCN2026041458956,290021964027,https://detail.1688.com/offer/539949821539.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/7/1,709003907,2.13455,,9,13.79
PACKMAN 快递袋（带/不带口袋）塑料邮递传单包裹袋包装袋包裹塑料快递袋 50个装,灰色，无口袋，40*55厘米,4.41,https://cf.shopee.com.my/file/my-11134207-7r98x-lr5bs9kexh5w95,http://shopee.com.my/product/8292524/709003907,礼品与包装材料,其他的,IVCN2026041458956,290021964028,https://detail.1688.com/offer/731716080232.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A2104999217575572745575357e0e7c&token=x9VKIeUV8N34zAHDWGQJ9tkA%2BsVH2iCH8RnE4KrJm4XCZRmM4QFX%2FZpUqf3N6GNz&tracelog=cps&clickid=c425d65be4b8d80cc18efe1755819519&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDCC953C153699819B3EFCC6E8E09029140E056D9A16380D26CD7B661765BC64D2D7EEF6D6099BA67CE089F770C23C101B779BBEE0D1B19A10836843F50BCA61BFD09DD85569ADF972DDB0B140223221FC3A5EFFECFE19362E830EF9787413228E19DBA48156B3E08B921D1E381489D1DB768E5101094A70E6E4A0C6A237E6360144AD247379E19CAD31EB33D9142D370F2%26cbu_cps_trace_flag%3Dwrite,P1,2026/7/1,709003907,4.4199,,9,8.07
PACKMAN 快递袋（带/不带口袋）塑料邮递传单包裹袋包装袋包裹塑料快递袋 50个装,白色无口袋，25*39厘米,2.04,https://cf.shopee.com.my/file/my-11134207-7r98y-lr5bs9keyvqcc5,http://shopee.com.my/product/8292524/709003907,礼品与包装材料,其他的,IVCN2026041458956,290021964029,https://detail.1688.com/offer/731716080232.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A2104999217575572745575357e0e7c&token=x9VKIeUV8N34zAHDWGQJ9tkA%2BsVH2iCH8RnE4KrJm4XCZRmM4QFX%2FZpUqf3N6GNz&tracelog=cps&clickid=c425d65be4b8d80cc18efe1755819519&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDCC953C153699819B3EFCC6E8E09029140E056D9A16380D26CD7B661765BC64D2D7EEF6D6099BA67CE089F770C23C101B779BBEE0D1B19A10836843F50BCA61BFD09DD85569ADF972DDB0B140223221FC3A5EFFECFE19362E830EF9787413228E19DBA48156B3E08B921D1E381489D1DB768E5101094A70E6E4A0C6A237E6360144AD247379E19CAD31EB33D9142D370F2%26cbu_cps_trace_flag%3Dwrite,P1,2026/7/1,709003907,2.04314,,9,12.79
PACKMAN 快递袋（带/不带口袋）塑料邮递传单包裹袋包装袋包裹塑料快递袋 50个装,灰色无口袋，50*65厘米,7.31,https://cf.shopee.com.my/file/my-11134207-7r98x-lr5bs9kexh5w95,http://shopee.com.my/product/8292524/709003907,礼品与包装材料,其他的,IVCN2026041458956,295022849628,https://detail.1688.com/offer/539949821539.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2,P1,2026/7/1,709003907,7.31068,,9,6.79
PACKMAN 快递袋（带/不带口袋）塑料邮递传单包裹袋包装袋包裹塑料快递袋 50个装,灰色，无口袋，35*49厘米,4.51,https://cf.shopee.com.my/file/my-11134207-7r98x-lr5bs9kexh5w95,http://shopee.com.my/product/8292524/709003907,礼品与包装材料,其他的,IVCN2026041458956,305021908326,https://detail.1688.com/offer/539949821539.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/7/1,709003907,4.51132,,9,5
东亚 My Gel XP 粉色，0.5mm 黑色墨水 12支/盒 111129BX,东亚 My Gel XP 粉色，0.5mm 黑色墨水 12支/盒 111129BX,13.56,https://cf.shopee.ph/file/551e7e836420488aa794267a90cddbe5,http://shopee.ph/product/41278693/716170658,写作与校对,钢笔和墨水,IVCN202602283563,22841946337,,P2,2026/7/1,716170658,13.56794,,1,2.5
东亚 U 型可伸缩凝胶 0.5mm，黑色 12 片/盒 112811,东亚 U 型可伸缩凝胶 0.5mm，黑色 12 片/盒 112811,20.42,https://cf.shopee.ph/file/742d42ac13c36ab0855541dc3f50305c,http://shopee.ph/product/41278693/716553482,写作与校对,钢笔和墨水,IVCN202606173593,80024661442,,P2,2026/7/1,716553482,20.42009,高价品，流量翻倍,1,1.71
100支装圆珠笔 0.7毫米 [笔形随机发送],绿色的,6.76,https://cf.shopee.vn/file/bff8c8bcadf8b99126cd226c25347071,http://shopee.vn/product/41899495/763158476,写作与校对,钢笔和墨水,IVCN202601052899,671898498,https://detail.1688.com/offer/530899685581.html?kj_agent_plugin=aliprice&fromkv=xytTrace:213d7cd717453896880446444e1465&token=6AUNJq1HMhQYiNabaChZN0qL6R1EB185a4OFswyMurzgxt9%2BKOm%2B93zRr9zNdI5f,P1,2026/7/1,763158476,6.76275,,1,4.36
纸袋。50个装，尺寸为27 x 33 x 11厘米，礼品袋 - 礼品包装袋。,样品，尺寸：27 x 33 x 11,23.15,https://cf.shopee.vn/file/vn-11134207-7r98o-lwwsd6jjh80r19,http://shopee.vn/product/26014949/766999887,礼品与包装材料,礼品袋,IVCN202606178589,185195656138,,P2,2026/7/1,766999887,23.15035,高价品，流量翻倍,1,
樱花牌触控笔/油漆笔可附带税务发票。,1.0毫米金 #41301,1.87,https://cf.shopee.co.th/file/th-11134207-7qukw-lepm4dk57cwz13,http://shopee.co.th/product/43778689/818384038,写作与校对,钢笔和墨水,IVCN2026041455196,12997076401,https://detail.1688.com/offer/621370241998.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/7/1,818384038,1.87394,,2,3.93
樱花牌触控笔/油漆笔可附带税务发票。,2.0毫米金 #41501,0.98,https://cf.shopee.co.th/file/th-11134207-7qukw-lepm66b4euke1e,http://shopee.co.th/product/43778689/818384038,写作与校对,钢笔和墨水,IVCN2026041455196,12997076414,,P2,2026/7/1,818384038,0.98107,,2,4.5
大学活动大号笔记本，80页，附赠10卷毛线,蓝色10,16.27,https://cf.shopee.ph/file/cf4258cd2478f0f07c30c24f4312e157,http://shopee.ph/product/15642445/836169608,笔记本与纸质用品,笔记本和便签本,IVCN202602100622,720359885,,P2,2026/7/1,836169608,16.27901,高价品，流量翻倍,1,0.14
柯达哑光相纸，270克，A4尺寸，20张。高品质相纸，媲美专业照相馆。,柯达A4纸盒侧面。,3.3,https://cf.shopee.co.th/file/th-11134207-7r98z-ltec6tmhtd4tde,http://shopee.co.th/product/4319955/989046412,笔记本与纸质用品,打印和复印纸,IVCN202603163179,221835117417,https://detail.1688.com/offer/613825891887.html?spm=a26352.13672862.offerlist.38.91fc4453eAEmdx&cosite=-&tracelog=p4p&_p_isad=1&clickid=6f1a745df4ee4dec8f692e8c3bcf1ccc&sessionid=00c7afb0d4037c266954cfa0bcd20095,P0,2026/7/1,989046412,5.48636,高价品，流量翻倍,1,
大师级艺术描图纸，90克/平方米，无框，用于制图 – 1包（50张）,A4纸（50张）,8.53,https://cf.shopee.co.th/file/th-11134207-7rask-mab5rmi392kq7a,http://shopee.co.th/product/37154460/1025744006,笔记本与纸质用品,艺术纸和纸板,IVCN202601194741,186098242296,https://detail.1688.com/offer/837076323756.html?spm=a26352.13672862.offerlist.37.62db328aXgUnIB&cosite=-&tracelog=p4p&_p_isad=1&clickid=8b3bc6623c284762ae95f9f7673a28e7&sessionid=31bf293101a58ec3bd5157c4d6d5a682,P0,2026/7/1,1025744006,8.53577,,1,6.64
正品Paperang/Peripage贴纸纸，现货供应。12卷/24卷装。,24卷，带边，易撕。,19.27,https://cf.shopee.co.th/file/0da3d0bf474db3f54d570bdfa3a23970,http://shopee.co.th/product/34346257/1039112739,笔记本与纸质用品,标签和贴纸,IVCN2025112120219,80156242775,无同款,P1,2026/7/1,1039112739,19.27944,高价品，流量翻倍,1,0.93
"电脑表格 1层、2层、3层、4层 NCR 电脑纸 9.5""X 11"" - 1层2联、2层2联、3层2联电脑表格",3层 W/P/Y（500扇）,21,https://cf.shopee.com.my/file/3b69a7df6319d59883aa244b6750c191,http://shopee.com.my/product/54615355/1045408819,笔记本与纸质用品,热敏纸和连续纸,IVCN2026041456494,173648141125,https://detail.1688.com/offer/588909891.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P0,2026/7/1,1045408819,57.60646,高价品，流量翻倍,1,1.71
【组合装 50 卷】奶茶标签 50x30mm - 热敏标签 5*3 英寸，50*30 英寸条形码标签 50x30mm - 5x3cm 50X30，可粘贴在杯子/马克杯上,[50卷 50x30x25米],105.65,https://cf.shopee.vn/file/vn-11134207-81ztc-mod0zjafecxse8,http://shopee.vn/product/47620107/1099193966,笔记本与纸质用品,热敏纸和连续纸,IVCN2026041459788,340652708610,https://detail.1688.com/offer/39229117324.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/7/1,1099193966,105.65919,高价品，流量翻倍,1,
连续复写纸，9*5.5厘米/2层，2000套***（每单最多2盒）***尺寸相当于A5。,连续复写纸，9*5.5厘米/2层，2000套***（每单最多2盒）***尺寸相当于A5。,34.05,https://cf.shopee.co.th/file/th-11134207-7r990-lqu0ngi1o0t690,http://shopee.co.th/product/65779202/1126184132,笔记本与纸质用品,热敏纸和连续纸,IVCN202601053283,72144274347,,P1,2026/7/1,1126184132,34.05283,高价品，流量翻倍,1,8.5
Chosch CS-8650-8 双头凝胶笔，0.5mm 钻石笔尖，荧光笔颜色与笔杆颜色一致，书写流畅，线条优美清晰（8 色套装）。,Chosch CS-8650-8 双头凝胶笔，0.5mm 钻石笔尖，荧光笔颜色与笔杆颜色一致，书写流畅，线条优美清晰（8 色套装）。,2.69,https://cf.shopee.co.th/file/th-11134207-7r98r-lw59jul27z6710,http://shopee.co.th/product/33481573/1146471126,写作与校对,钢笔和墨水,IVCN202606173823,90074645880,,P2,2026/7/1,1146471126,2.69867,,1,0.64
🇹🇭 大卷气球丝带，500码（400米）,影子资金,2.95,https://cf.shopee.co.th/file/46a11d866afb3aa16241482408e7185c,http://shopee.co.th/product/69311480/1153690181,礼品与包装材料,丝带,IVCN2026031924788,2818101332,,P2,2026/7/1,1153690181,2.95983,,1,
绿色 5 米 2.5 厘米 3.8 厘米 5 厘米 高级双面缎带 DIY 手工艺 婚礼蝴蝶结 礼品包装 礼物,563 柳条，2.5 厘米（1.0 英寸）,0.7,https://cf.shopee.com.my/file/78f355f9186852a691c4f95b5e55cfcd,http://shopee.com.my/product/1621119/1162812738,礼品与包装材料,丝带,IVCN202606173629,80850217429,,P2,2026/7/1,1162812738,0.70028,,1,1.71
100个装特制24.2厘米塑料书/练习本套,100个装特制24.2厘米塑料书/练习本套,2.94,https://cf.shopee.vn/file/vn-11134207-7ras8-mdjxcculduita4,http://shopee.vn/product/41899495/1220670190,笔记本与纸质用品,书籍封面,IVCN202606173589,79930187306,https://detail.1688.com/offer/808587251556.html?spm=a26352.13672862.offerlist.76.166117ba6t9Ycf,P1,2026/7/1,1220670190,2.94408,,1,
UNI KURUTOGA 自动铅笔，0.5 毫米笔芯。,粉色的,4.06,https://cf.shopee.co.th/file/th-11134201-7rase-m8ymaw9qadlbf6,http://shopee.co.th/product/29228725/1239390970,写作与校对,铅笔,IVCN202606171923,1481621256,,P2,2026/7/1,1239390970,4.06497,,1,1.29
BOS A4 贴纸纸（50 张/包）有 2 种类型可供选择。,白色哑光,7.28,https://cf.shopee.co.th/file/th-11134207-7r98v-lz5q59bpk9exac,http://shopee.co.th/product/65779202/1242269928,笔记本与纸质用品,标签和贴纸,IVCN202601053351,81310045101,https://detail.1688.com/offer/710788745701.html?spm=a26352.13672862.offerlist.1.25b15872A3eEBU&cosite=-&tracelog=p4p&_p_isad=1&clickid=758cf7dc650c4eb89153a7dcb0e8002d&sessionid=ca2a258f1cf4bc76390aaf89b7145d92,P1,2026/7/1,1242269928,7.28022,,1,4.43
【100卷装】K80x80mm账单打印纸 - K80热敏打印纸，直径80mm，POS机打印纸80*80，订单打印，发票打印,[100卷 K80x80],144.85,https://cf.shopee.vn/file/vn-11134207-81ztc-mls2zr1wgkjm34,http://shopee.vn/product/47620107/1299274405,笔记本与纸质用品,热敏纸和连续纸,IVCN2025122312961,222281814268,https://detail.1688.com/offer/700339716731.html?spm=a26352.b28411319/2508.0.0,P1,2026/7/1,1299274405,144.85932,高价品，流量翻倍,1,1.07
正品欧博克钢笔墨水，100%正品。可提供发票（详情请私信）。（谨防假冒产品）。,蓝色的,6.75,https://cf.shopee.co.th/file/th-11134207-7r991-lyw6wowfrhq938,http://shopee.co.th/product/39602049/1314413932,写作与校对,钢笔和墨水,IVCN2026021028641,1707889749,https://detail.1688.com/offer/689914938999.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P0,2026/7/1,1314413932,26.65822,高价品，流量翻倍,1,
价格标签，100个/套，DY08,白色底，金色镶边,0.58,https://cf.shopee.co.th/file/6cd409b7fbed6a0aae1d8f520d0dbf08,http://shopee.co.th/product/52774522/1350746262,笔记本与纸质用品,标签和贴纸,IVCN202601053319,78197397447,https://detail.1688.com/offer/796121054474.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf84a2617472044557131450e144d&token=BcqZf8W7s8CNB2%2FmdzoWDjVFzAYfVrN9C%2F3Bh%2BzzLCT3lmiSkQER%2F1OcRqw2MZ3f,P1,2026/7/1,1350746262,0.5889,,1,6.36
Pencom CYP5/A，透明笔杆，油性墨水按压式钢笔。（如果您需要收据，请在备注中注明。）,50支笔,11.41,https://cf.shopee.co.th/file/th-11134207-7r98p-lqfp07vhfhga28,http://shopee.co.th/product/68457033/1374832754,写作与校对,钢笔和墨水,IVCN202606171927,1877182427,,P2,2026/7/1,1374832754,11.41169,,1,
日本学生钢笔 PREPPY 03 - 0.3mm 笔尖 - 超耐用笔尖，书写极其流畅。,紫色贝壳 - 紫色墨水,4.43,https://cf.shopee.vn/file/vn-11134207-7r98o-lv1wuwykwivu8c,http://shopee.vn/product/82079291/1382943729,写作与校对,钢笔和墨水,IVCN2026021028643,1899022185,https://detail.1688.com/offer/855700755259.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,2026/7/1,1382943729,4.43698,,1,11.57
17克/平方米包装纸，适用于衣物/包包/鞋子（白色，100张）。轻薄白纸，有两种尺寸可选！,20x30英寸，100张,2.85,https://cf.shopee.co.th/file/02e49ee0fb12c3a4429c6897cbf3e650,http://shopee.co.th/product/26309121/1397907419,礼品与包装材料,礼品包装纸,IVCN202601194491,174006520034,https://detail.1688.com/offer/811602835741.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,2026/7/1,1397907419,2.8583,,1,2.07
Pencom PKM08 修正笔，金属笔尖修正液（如果您需要收据，请在备注中注明）。,12 件,12,https://cf.shopee.co.th/file/th-11134207-7r992-lqfrab5wss8464,http://shopee.co.th/product/68457033/1400464771,写作与校对,橡皮擦和修正用品,IVCN202605140009,1942878515,https://detail.1688.com/offer/687627018111.html?spm=a261y.7663282.3002526303362591.2.60e0477eENmkTa&sk=order&fromkv=cbuPcPlugin%3AimageSearchDrawerCard,P0,2026/7/1,1400464771,12.00675,,1,
（每包50/10套）CUYI PVC片材和PET片材 A4尺寸,PET片材 - 50套,8.95,https://cf.shopee.ph/file/ph-11134207-7qul7-lh464ljjrhr4f5,http://shopee.ph/product/45616050/1413771825,笔记本与纸质用品,艺术纸和纸板,IVCN2026061711245,216761193313,无同款,P1,2026/7/1,1413771825,8.95509,,2,
（每包50/10套）CUYI PVC片材和PET片材 A4尺寸,PVC板材10片,8.03,https://cf.shopee.ph/file/ph-11134207-7quky-lh464ljjuaw013,http://shopee.ph/product/45616050/1413771825,笔记本与纸质用品,艺术纸和纸板,IVCN2026061711245,216761193314,,P2,2026/7/1,1413771825,8.03851,,2,2.29
